UNIQUE_ID,average_S1,average_S2,average_S3,average_S4,average_S5,average_S6,average_S7,average_S8,average_S9,average_S10,average_S11,average_S12,average_S13
244077674,2.0,3.0,2.5,1.75,3.0,4.0,1.25,3.0,1.75,1.75,3.25,2.0,2.5
241587033,3.0,3.75,3.25,2.5,3.25,6.0,1.0,3.25,1.0,1.0,1.25,1.25,1.25
245172884,2.0,3.75,3.75,1.5,2.5,5.75,1.5,1.5,1.0,1.75,3.25,1.25,1.75
245240099,1.0,3.25,2.75,4.0,1.75,4.25,1.75,3.0,1.0,3.25,4.0,1.0,2.5
245212936,2.0,3.0,3.5,1.75,1.5,5.5,2.0,2.0,1.5,1.75,2.25,2.0,2.75
244268979,4.0,4.0,3.75,1.0,4.0,5.5,1.0,2.5,1.0,1.0,1.0,1.0,
245116652,2.75,3.75,4.0,1.75,3.75,6.0,1.25,3.5,1.0,1.0,2.0,1.5,1.5
244968615,2.75,4.0,4.0,2.75,1.75,5.75,1.25,2.5,1.0,1.0,1.75,2.25,1.75
245217084,3.75,3.0,4.0,2.25,2.75,4.75,1.25,1.75,1.0,1.0,1.0,1.0,2.75
245092884,3.0,4.0,3.0,1.75,1.0,5.5,1.25,2.0,1.75,1.0,2.0,2.25,2.0
245078947,3.5,3.5,3.75,1.5,4.0,5.5,1.0,1.75,1.0,1.25,3.0,1.5,2.0
245056245,3.25,4.0,2.0,2.75,3.0,4.25,1.5,2.0,1.0,1.75,2.5,1.0,2.5
245113326,3.0,3.25,3.0,1.75,1.25,3.75,1.0,2.75,1.0,1.0,2.25,1.25,2.25
245145398,3.75,4.0,4.0,1.0,3.75,4.5,1.0,1.0,1.0,1.0,1.0,2.25,2.5
245254382,3.0,3.25,3.25,2.0,1.0,5.25,1.0,3.0,1.0,1.75,2.75,1.0,1.25
244975130,3.0,3.25,3.0,3.0,3.0,4.5,2.0,2.5,1.0,1.25,2.25,1.0,2.25
245203228,3.5,3.25,3.25,3.0,3.75,5.25,2.25,1.75,2.0,1.25,1.5,1.0,2.0
245040507,2.75,3.5,2.25,1.25,1.75,5.25,1.25,3.25,1.0,1.5,2.0,1.5,2.0
245075681,4.0,4.0,4.0,1.0,4.0,5.5,1.0,3.25,1.0,1.0,1.0,1.0,1.5
244979128,3.0,3.0,3.0,2.0,2.25,4.25,2.0,2.25,1.75,2.0,2.0,2.5,2.5
244978145,4.0,2.5,3.25,2.5,3.25,5.25,3.25,2.75,3.25,2.5,2.5,2.5,2.75
128156332,3.0,3.75,2.0,2.0,3.0,4.0,1.0,2.0,1.0,1.75,1.75,2.5,2.5
244988831,3.25,4.0,2.75,2.5,3.0,3.5,1.75,,1.5,1.75,3.25,,2.75
245086858,2.75,3.75,3.0,3.0,3.25,5.25,1.25,2.5,1.25,1.25,1.75,1.75,2.0
245205751,1.75,3.5,2.25,3.25,3.5,4.75,1.5,3.0,1.0,2.25,2.75,1.75,2.5
242349691,2.0,2.75,2.25,2.75,2.5,4.75,1.0,2.5,1.0,1.25,2.25,1.75,2.0
245145566,3.5,4.0,4.0,1.5,3.0,5.5,1.0,3.5,1.0,1.0,1.75,2.75,3.0
245171683,3.75,4.0,3.25,2.0,1.75,5.25,1.0,1.25,1.0,1.25,1.0,1.0,1.25
245113383,2.5,2.75,2.5,2.5,2.25,4.25,1.25,2.0,1.25,2.25,2.0,2.0,3.0
240377021,3.0,4.0,4.0,1.25,3.25,3.75,1.25,2.25,1.0,1.0,2.75,1.25,2.25
245109714,,3.25,3.0,1.75,2.25,,1.75,2.75,,1.75,2.5,3.0,1.5
121031960,3.0,3.75,3.75,2.0,4.0,4.25,1.5,2.0,1.75,1.0,1.75,3.0,2.75
245112083,4.0,4.0,4.0,1.0,3.25,5.75,1.0,1.75,1.0,1.0,1.0,1.0,2.25
237737609,2.75,3.5,2.75,2.0,3.25,4.5,1.25,3.25,1.0,1.75,2.75,1.25,2.25
245012814,3.25,3.5,2.75,2.75,3.25,4.75,2.0,3.75,1.0,1.5,1.75,1.25,1.75
245059430,1.0,4.0,4.0,2.0,1.75,5.5,1.0,1.75,1.0,1.0,2.25,1.0,2.0
245225854,1.5,3.0,2.5,2.75,1.5,5.5,2.0,1.25,1.25,1.5,3.0,2.5,2.5
245174302,1.75,3.25,2.0,2.5,1.75,4.25,1.0,2.75,1.25,2.0,3.0,1.25,2.25
245255866,,3.75,2.75,1.5,2.5,4.0,,3.0,,2.25,,1.75,2.25
245180688,4.0,,4.0,,,,1.0,2.25,1.0,1.0,1.75,3.25,
245037777,4.0,4.0,4.0,1.75,4.0,5.0,1.5,2.0,1.0,1.0,1.5,1.75,2.0
239673529,3.75,4.0,3.25,2.25,1.5,5.0,1.0,1.5,1.25,1.0,2.0,1.0,1.25
244941321,3.25,3.75,3.5,2.0,4.0,4.75,1.0,3.25,1.0,1.25,1.75,1.0,1.5
239417749,,,3.5,,3.0,,1.75,3.0,1.0,2.0,2.0,2.5,1.75
243307699,2.0,2.5,2.25,2.5,2.25,3.75,2.5,3.0,1.75,2.5,2.5,2.5,3.25
245145426,1.0,3.5,2.5,3.5,2.5,4.5,1.0,1.75,1.0,2.25,4.0,1.0,1.75
245240576,2.25,3.25,2.25,2.5,1.75,4.75,1.25,1.75,1.0,2.0,2.5,2.0,2.75
245187321,4.0,4.0,4.0,1.25,3.25,5.0,1.0,4.0,1.0,1.0,1.0,1.0,
245089375,4.0,3.75,4.0,1.0,3.25,5.5,1.0,3.75,1.0,1.0,1.0,1.0,1.5
245123419,1.75,2.25,1.75,2.0,1.5,4.0,2.5,3.0,2.0,2.5,2.5,2.0,2.0
245135727,2.75,3.0,2.25,2.0,1.5,3.5,3.0,2.0,2.0,2.0,2.25,2.75,2.5
245085363,3.0,4.0,4.0,2.0,4.0,5.25,1.5,4.0,1.0,1.25,3.0,1.75,1.75
244988022,2.75,2.75,3.25,1.5,2.75,5.0,1.25,3.0,1.0,2.0,2.0,1.75,2.25
245196662,4.0,3.25,3.75,1.0,1.0,5.5,1.0,2.75,1.0,1.0,3.0,1.0,2.25
245174721,2.5,3.0,2.75,2.75,2.5,3.5,2.75,2.5,2.75,2.0,2.5,2.5,3.5
232853596,2.5,3.0,2.75,3.0,2.25,4.0,2.0,2.25,1.75,1.5,2.0,1.5,2.5
244956729,4.0,4.0,4.0,1.25,4.0,5.5,1.0,4.0,1.0,1.0,1.0,1.0,1.25
245020933,2.75,3.0,3.25,2.0,1.5,4.5,1.5,3.0,1.25,1.75,3.0,1.5,2.5
245191637,2.5,3.5,2.25,2.0,3.0,4.5,1.5,2.75,1.0,2.0,2.75,1.75,2.25
123004689,3.0,4.0,3.25,1.75,3.75,5.25,1.0,3.0,1.0,1.0,2.75,1.75,2.5
241935259,3.5,3.5,2.5,2.5,1.75,5.5,1.0,2.5,1.0,1.0,2.0,1.25,1.75
245215953,1.75,3.25,2.5,2.0,1.75,4.25,3.25,2.25,1.25,2.0,2.5,1.5,2.5
245057988,3.25,4.0,4.0,1.0,3.25,,1.25,,1.0,1.0,1.0,,
245159582,1.0,3.25,2.5,2.0,1.0,4.25,1.25,1.75,1.0,2.25,4.0,2.0,1.5
245254284,1.5,3.5,2.75,3.0,2.5,5.0,1.0,3.75,1.5,1.0,3.25,1.0,1.75
240889788,4.0,3.0,3.75,2.0,4.0,5.25,1.0,1.5,1.0,1.0,1.75,1.25,2.25
242114186,1.75,3.0,2.5,3.0,1.25,4.5,1.5,2.75,1.75,2.25,2.5,2.0,2.75
245006312,3.75,3.25,2.75,1.0,1.5,4.5,1.5,1.75,1.5,1.0,2.0,2.75,2.75
245014518,4.0,4.0,4.0,1.0,4.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.25
242021816,4.0,3.0,4.0,1.5,3.75,4.0,2.0,2.0,2.0,1.0,2.25,1.75,2.75
244995996,2.0,3.75,3.25,1.0,2.5,4.0,2.25,1.75,1.0,1.5,1.75,2.0,3.0
245173281,4.0,4.0,3.75,2.75,2.5,5.25,1.0,1.75,1.0,,1.25,1.0,2.0
245084496,1.75,4.0,3.25,2.5,2.5,4.75,1.0,2.5,1.0,1.0,3.25,1.0,1.25
245010131,1.75,3.25,1.75,3.25,2.0,3.75,1.25,2.0,1.0,2.25,4.0,2.0,2.0
245155664,1.75,3.0,3.25,1.25,1.5,4.5,1.75,2.25,1.25,2.0,3.0,2.5,2.5
244993435,2.25,3.25,,1.25,1.25,6.0,1.0,1.25,1.0,1.5,2.25,1.0,2.5
245028508,1.0,3.75,3.0,1.0,2.5,4.0,1.0,1.5,1.0,1.25,2.5,2.0,2.25
245171502,3.75,3.5,4.0,1.0,2.25,4.25,1.0,2.25,1.0,1.25,1.0,1.0,1.75
231851853,4.0,4.0,3.75,1.0,4.0,5.75,1.0,2.0,1.0,1.0,1.25,2.25,3.25
245194968,4.0,4.0,4.0,1.0,4.0,5.0,1.0,1.75,1.0,1.0,1.0,1.0,1.25
245176673,,4.0,1.25,4.0,1.0,4.25,1.0,1.25,1.25,2.75,,2.5,1.75
245141836,2.5,3.25,3.0,3.75,1.0,5.5,2.25,1.75,1.0,1.0,2.0,1.25,
245122951,4.0,3.75,3.25,1.0,3.25,5.25,1.25,3.0,1.0,1.0,1.0,1.0,1.25
245211845,4.0,4.0,3.25,1.25,4.0,4.5,1.0,3.25,1.0,1.0,1.0,3.25,2.5
245047780,2.75,3.0,3.0,1.75,2.0,4.0,1.75,2.5,1.0,1.0,2.5,1.75,3.0
245071104,3.75,4.0,4.0,1.75,3.5,4.75,1.25,1.25,1.0,1.0,1.0,1.0,2.5
245190757,2.25,3.75,3.25,1.5,4.0,5.0,1.0,3.5,,1.25,2.75,1.25,1.25
245237486,2.0,3.0,2.25,2.75,2.0,5.5,1.0,2.75,1.5,2.0,2.5,1.5,2.0
245141973,3.25,3.75,4.0,2.0,2.0,5.25,1.25,3.75,1.0,1.5,2.0,1.5,4.25
245111702,3.5,4.0,4.0,1.0,3.25,4.75,1.5,3.75,1.0,1.0,1.25,1.0,2.5
245007078,4.0,4.0,4.0,1.0,4.0,5.0,1.5,1.5,1.0,1.0,1.0,1.5,1.5
244950750,3.0,3.25,3.75,1.5,3.0,4.75,1.0,3.25,1.25,1.25,1.5,1.75,1.75
245205504,3.75,4.0,2.0,3.75,3.0,4.25,1.0,2.0,1.25,1.25,2.75,1.25,2.0
245122974,2.0,3.75,3.0,4.0,2.25,3.75,1.25,2.25,1.0,2.0,3.75,3.0,3.75
245052413,1.0,4.0,,3.75,,4.0,1.0,2.0,1.0,,4.0,,1.25
239018899,4.0,3.5,3.75,2.25,2.5,4.5,1.0,2.25,1.0,1.0,1.0,1.25,2.75
245225205,4.0,4.0,3.25,1.0,4.0,5.25,1.0,4.0,1.0,1.0,1.0,1.75,1.25
245138581,3.25,3.5,3.0,3.5,1.0,5.5,1.25,2.25,1.0,1.0,2.5,2.25,1.75
245241689,4.0,4.0,4.0,1.0,3.25,6.0,1.0,3.25,1.0,1.0,1.0,1.0,1.25
245216969,3.25,4.0,4.0,1.0,3.25,6.0,1.0,3.25,1.0,1.0,1.0,1.0,1.25
245150504,3.5,3.5,3.5,2.0,2.0,5.25,2.0,2.25,1.0,1.0,1.0,2.25,2.25
245206208,1.5,3.25,3.75,1.0,1.5,3.5,1.5,2.25,1.0,1.0,3.75,1.25,1.5
245092016,2.0,4.0,1.75,2.25,2.5,4.75,2.0,1.0,1.25,1.75,2.75,,2.5
244978056,2.0,3.75,3.0,2.0,4.0,4.75,1.25,3.25,1.0,1.25,3.0,2.0,2.5
245192120,2.5,,3.5,2.5,2.25,5.0,2.0,2.25,2.75,1.5,,1.5,1.5
245150277,3.5,4.0,4.0,1.75,4.0,6.0,1.0,3.0,1.0,1.0,1.5,1.25,1.25
245212995,1.5,3.75,1.75,1.75,2.25,4.25,1.5,2.0,1.0,1.25,3.75,1.75,2.5
245010090,2.5,2.25,2.5,3.25,2.0,5.25,1.0,4.0,1.0,1.75,3.25,1.0,
245195988,2.75,4.0,3.0,1.0,3.0,4.0,1.75,2.0,1.5,1.0,1.75,3.0,3.5
245184969,2.75,3.0,2.0,3.0,3.25,5.0,1.25,2.75,1.0,2.0,2.25,1.75,3.25
245220157,2.0,3.5,3.0,3.25,2.0,4.0,1.0,2.0,1.0,1.25,1.75,1.25,1.5
245161510,3.0,3.0,2.0,2.0,2.75,5.0,1.5,2.25,2.0,1.75,2.0,1.5,2.75
245091438,1.25,3.25,4.0,1.0,1.75,4.5,1.0,2.25,1.75,1.0,4.0,1.0,1.5
245213832,4.0,3.25,4.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75
244994975,2.5,4.0,3.25,4.0,1.75,6.0,1.0,3.75,1.0,1.0,4.0,1.0,1.75
245002889,4.0,3.25,4.0,1.0,4.0,5.25,1.25,2.5,1.0,1.0,1.0,1.0,1.25
245103913,2.5,3.0,2.75,2.5,1.0,5.0,1.0,1.75,1.0,1.25,3.75,2.0,2.25
245129234,1.0,3.25,1.25,2.75,1.75,5.25,1.5,3.25,1.0,3.5,3.5,2.25,2.5
245001083,2.25,4.0,4.0,1.0,4.0,3.5,1.0,3.0,1.0,1.0,3.25,2.25,2.5
245018728,1.25,4.0,2.25,3.25,2.0,5.25,1.25,2.0,1.0,1.75,3.75,1.25,2.0
245206166,2.5,4.0,4.0,2.25,4.0,5.5,1.0,1.5,1.0,1.0,1.0,1.75,2.0
245170042,3.75,4.0,4.0,1.0,4.0,4.75,1.0,2.5,1.0,1.0,2.0,1.0,1.5
245185446,4.0,4.0,4.0,1.0,4.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0
245118516,3.5,4.0,4.0,3.25,3.75,5.25,1.0,3.0,1.0,1.0,2.25,1.75,2.0
245226016,3.0,3.0,2.0,1.5,3.25,4.0,1.25,3.25,1.25,1.5,1.75,1.75,2.0
245224911,4.0,4.0,4.0,3.5,2.5,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.25
240096314,4.0,,4.0,1.25,,5.75,1.0,3.25,1.0,1.0,1.0,1.0,1.25
245125043,4.0,4.0,4.0,1.0,2.5,5.25,1.0,1.0,1.0,1.0,3.25,1.0,1.25
245230290,1.75,3.0,2.25,3.0,2.75,4.0,1.0,3.0,1.0,1.5,2.25,1.0,2.5
245216311,4.0,3.5,4.0,1.0,1.25,5.5,1.0,1.0,1.25,1.0,3.0,1.25,3.25
245175008,2.5,3.0,2.5,1.0,1.25,4.75,1.0,2.5,1.0,1.5,2.75,1.5,2.5
245084041,3.25,2.75,2.5,1.0,2.5,3.75,1.0,3.25,1.0,1.0,1.75,1.25,1.5
245133882,2.0,3.5,2.25,2.0,2.5,5.5,1.0,2.5,1.0,1.25,2.5,1.25,1.5
245031741,3.0,3.75,3.75,1.25,4.0,4.75,1.0,2.75,1.0,1.5,1.25,1.0,2.0
245048205,,3.75,4.0,,1.0,5.5,2.75,1.25,3.0,1.0,1.25,1.0,3.0
240700022,3.25,3.0,3.5,1.75,1.0,5.0,1.0,2.5,1.0,1.0,1.0,1.5,2.5
245026280,3.75,3.75,2.25,4.0,2.5,4.25,1.5,1.75,1.25,1.75,1.25,1.25,2.5
245165787,1.0,3.0,1.75,2.0,2.5,4.25,2.0,2.0,2.0,2.75,3.75,3.25,2.75
245014435,2.0,3.25,3.25,3.0,3.25,5.5,1.25,2.75,1.25,1.75,2.5,2.75,2.75
245103076,3.25,3.0,3.75,1.75,3.25,4.25,1.0,2.75,1.25,1.0,2.5,1.75,3.0
237149810,3.0,3.5,4.0,1.75,4.0,5.5,1.0,3.5,1.0,1.0,1.5,1.25,1.25
245246580,1.0,2.5,1.5,3.5,1.5,3.75,3.0,2.0,2.25,3.0,4.0,2.5,2.75
245190865,2.0,2.75,2.25,3.0,2.75,4.0,1.25,2.5,1.0,2.5,3.5,3.0,2.75
245080849,2.5,3.0,2.75,2.0,2.0,4.0,2.0,2.0,2.5,2.25,2.5,2.0,2.5
245074533,1.5,3.75,3.25,2.0,2.0,4.0,1.5,2.0,1.0,2.0,3.25,1.75,1.75
245037059,3.25,3.75,3.75,2.0,3.0,5.5,1.0,1.25,1.0,1.5,3.0,2.25,2.0
245207269,4.0,4.0,4.0,1.0,4.0,4.5,1.0,2.0,1.0,1.0,1.0,2.0,2.5
245103931,1.75,3.5,3.0,3.0,2.0,3.5,2.25,3.0,1.75,2.5,3.0,2.75,2.75
245159931,4.0,4.0,4.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75
244990750,4.0,4.0,4.0,1.0,1.0,4.5,1.0,2.5,1.0,1.0,1.75,1.75,1.25
245060350,3.5,3.75,3.5,1.75,2.5,5.25,2.0,1.25,1.0,1.0,1.25,1.0,2.5
235053490,2.5,3.0,3.0,2.25,2.5,4.75,1.0,2.25,1.0,1.75,2.0,1.25,2.25
245166716,3.0,4.0,4.0,1.0,1.5,4.25,1.0,1.25,1.0,1.25,2.0,3.25,3.0
245070986,4.0,4.0,4.0,1.0,4.0,5.5,1.0,4.0,1.0,1.0,1.0,1.0,2.0
245155768,2.75,3.5,2.75,1.0,3.25,5.25,1.75,2.5,1.0,1.0,3.5,1.0,1.5
245139601,2.25,3.25,2.75,2.0,2.25,5.0,1.5,2.75,,2.25,,3.0,2.5
245113307,2.5,4.0,3.25,3.0,2.5,5.0,1.0,1.75,1.0,1.25,,1.0,1.75
245077929,1.75,2.5,2.25,3.25,1.0,5.5,1.25,2.0,1.0,1.5,2.75,2.0,2.25
245130976,3.0,3.25,3.0,2.25,3.25,5.0,1.0,3.0,1.0,1.5,2.75,1.25,3.0
245255200,1.75,3.5,2.0,2.5,3.75,4.0,1.75,2.75,1.5,2.25,2.25,1.0,1.75
245276238,2.0,2.75,1.75,2.25,2.0,4.0,1.75,2.5,1.75,2.0,2.25,1.75,2.75
245073966,2.75,3.5,2.75,1.75,2.25,3.5,2.0,2.5,1.75,2.0,3.0,2.0,2.75
245080454,3.25,3.75,3.0,3.0,3.5,3.5,1.5,3.0,1.75,2.0,1.75,2.0,2.25
245195070,1.5,2.25,3.25,2.75,3.5,2.75,2.5,1.0,3.5,1.0,3.75,1.0,2.0
245113939,4.0,4.0,3.75,1.75,4.0,5.0,1.25,3.0,1.0,1.25,1.0,1.0,1.5
244985211,2.75,4.0,3.5,1.75,4.0,5.0,1.0,2.0,1.0,1.0,2.0,1.5,1.75
245114721,1.75,3.5,3.25,3.5,1.0,5.25,1.0,1.25,1.0,1.0,4.0,1.5,1.75
245021348,4.0,,4.0,1.0,1.75,5.75,1.0,1.25,1.0,1.0,1.5,1.0,
245185513,1.75,2.75,2.25,2.25,1.0,5.0,1.0,1.75,1.25,1.25,2.75,2.0,2.5
245096647,1.5,4.0,3.0,1.5,1.5,5.25,1.0,2.75,1.25,1.25,4.0,1.5,2.25
245079056,1.0,3.75,2.5,4.0,1.5,5.0,1.0,1.75,1.0,1.0,3.0,2.0,2.5
245119199,1.75,3.0,4.0,1.5,2.75,5.25,1.0,2.0,1.0,1.0,1.25,1.25,2.0
245220970,4.0,4.0,3.5,1.75,4.0,5.25,1.0,2.5,1.0,1.0,1.0,1.0,1.5
245066532,3.5,4.0,3.5,1.0,3.0,4.75,1.25,2.5,1.0,1.0,2.0,3.5,2.5
245144357,4.0,3.5,4.0,3.5,4.0,5.0,1.0,3.75,1.25,1.0,1.5,1.5,1.5
244956971,2.5,3.25,2.75,1.75,1.25,5.25,1.75,3.0,1.0,1.25,2.5,1.25,2.0
245114950,1.5,3.0,2.75,1.5,2.0,3.25,2.25,1.75,1.25,2.5,4.0,2.75,2.5
245156041,3.0,3.25,3.0,1.75,3.0,4.75,1.0,3.0,2.0,1.0,2.5,1.75,2.25
245057687,3.25,4.0,4.0,3.5,4.0,4.75,1.0,2.5,1.5,1.0,2.5,2.0,2.25
245107237,2.25,3.25,2.5,3.0,2.0,4.0,2.0,2.25,1.75,2.25,3.0,2.5,3.5
244954463,2.0,4.0,3.5,2.0,2.25,4.5,2.75,3.0,2.0,1.5,3.25,1.0,2.5
239687574,3.5,4.0,3.75,1.5,3.0,4.5,1.5,1.25,1.75,1.0,1.5,1.75,2.5
126273449,3.0,4.0,3.25,3.0,3.75,5.5,1.0,3.0,1.0,1.25,2.0,2.0,1.25
245256000,2.5,2.75,2.25,2.75,1.0,3.5,1.75,2.0,1.75,2.25,3.0,2.0,3.0
126415803,3.0,3.25,1.75,1.75,4.0,4.75,1.0,3.25,1.0,1.25,1.25,1.0,1.25
245114627,4.0,4.0,4.0,1.0,4.0,5.25,1.0,2.5,1.0,1.0,1.0,1.0,2.75
245102295,4.0,4.0,4.0,1.0,3.25,6.0,1.0,4.0,1.75,1.0,1.0,1.0,1.75
245075551,1.0,3.0,2.5,2.0,1.75,4.0,2.0,1.75,1.75,2.0,3.0,2.5,1.75
245156151,2.0,3.75,2.75,2.0,2.0,4.25,1.75,2.0,1.25,1.75,2.5,1.5,2.0
245070777,2.5,3.0,3.5,1.0,1.75,4.25,1.75,2.5,2.0,1.5,1.75,3.0,2.5
124087103,2.0,3.75,3.75,2.5,1.75,5.25,1.0,2.75,1.0,1.0,3.75,1.0,1.75
245256987,2.5,3.25,2.5,2.0,2.25,3.25,1.5,2.75,1.0,1.25,2.25,2.75,2.0
245095448,2.5,2.75,3.0,1.0,1.75,4.75,1.25,3.25,1.5,1.0,2.75,1.75,2.25
245157351,3.0,4.0,4.0,2.75,4.0,5.5,1.0,1.0,1.0,1.0,2.5,1.0,2.0
245067207,4.0,4.0,4.0,1.0,4.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.25
245092003,2.75,3.5,2.75,1.25,1.75,3.75,2.0,3.0,2.0,1.75,2.5,1.0,2.25
245055147,1.75,4.0,3.25,3.75,1.0,5.75,2.5,1.5,1.0,1.75,3.25,1.75,2.0
245103788,1.75,3.75,2.75,1.25,1.0,4.5,1.25,2.25,1.0,1.0,3.25,1.75,2.75
245122522,1.75,4.0,3.75,1.25,1.0,5.5,1.0,2.5,1.0,1.0,4.0,1.0,1.75
245031419,2.25,3.5,3.25,1.5,1.5,5.0,,2.25,1.25,1.25,2.75,2.0,2.0
120257228,1.5,3.25,1.75,2.0,3.25,3.75,1.0,4.0,1.0,2.0,3.25,1.25,1.5
244581255,1.0,2.75,2.5,1.0,1.75,5.5,1.0,2.0,1.75,1.75,2.5,1.5,1.75
124684371,3.75,4.0,3.5,2.0,3.5,5.25,1.25,1.75,1.0,1.5,1.5,1.5,2.0
245061837,1.5,4.0,2.0,2.75,2.75,3.75,1.25,1.75,1.0,1.75,1.75,1.75,3.5
241913170,3.25,3.75,4.0,1.0,4.0,4.75,1.0,2.75,1.0,1.0,2.0,1.0,2.0
245087590,3.0,3.5,3.0,2.0,2.0,4.5,1.0,2.75,1.0,2.0,2.75,2.75,2.25
245014591,3.25,3.75,3.0,1.75,3.0,5.5,1.0,2.25,2.0,1.25,2.25,2.0,1.75
245033123,3.25,3.75,4.0,2.5,1.75,5.0,1.75,2.75,1.0,1.0,4.0,1.0,2.0
245124378,3.25,4.0,3.25,3.75,1.75,5.5,1.75,4.0,1.0,1.0,1.0,1.0,2.0
245206078,2.75,3.75,3.5,2.25,3.75,5.25,1.0,2.25,1.0,1.0,2.0,1.25,
245161379,2.5,3.0,3.0,1.0,3.0,5.0,2.0,2.25,2.0,2.0,3.0,1.0,2.5
245066028,3.0,3.0,,2.5,,3.5,,,1.0,,2.0,,2.0
244940352,4.0,3.25,4.0,1.0,4.0,5.25,1.0,4.0,1.0,1.0,1.0,1.0,1.25
244937239,1.0,3.25,3.25,2.5,1.75,4.5,1.75,3.0,1.0,1.0,1.75,1.75,1.25
245141533,3.0,3.0,3.0,3.0,2.5,4.0,1.0,2.5,1.0,1.25,1.75,2.75,2.75
245196291,4.0,4.0,4.0,1.0,3.25,4.5,1.0,2.0,1.0,1.0,3.0,1.75,2.25
